customer_id,created_at,feedback_text
CUST-7717,2026-06-10 01:00:57,Just wanted to say: Is there a mobile app in the roadmap? I need to check the status dashboard on the go.
CUST-6837,2026-03-27 08:11:57,"The application response time is average, but it sometimes lags when exporting data."
CUST-6233,2026-04-09 14:08:57,CPU usage spikes to 100% every time I open the editor. It lags my entire computer.
CUST-9701,2026-03-25 20:59:57,Disappointed. The mobile web version is completely broken. Buttons overlap and I can't click the menu.
CUST-1660,2026-05-22 22:08:57,The new update made the page transition so smooth and fast. Loads instantly now!
CUST-8469,2026-03-24 18:54:57,"It is hard to read the text in light mode. Contrast is very poor, my eyes hurt."
CUST-9766,2026-05-24 12:08:57,"The support docs are okay, but I prefer speaking to a human. Hard to find the contact form. (using version 2.4.1)"
CUST-2847,2026-06-06 19:15:57,Disappointed. I keep getting timeout errors when running reports for large date ranges. The app feels sluggish.
CUST-8987,2026-06-15 03:19:57,The loading time for the main analytics dashboard is extremely slow. It takes over 10 seconds to load. Hope this gets fixed soon.
CUST-6052,2026-06-05 17:44:57,The pricing is very reasonable considering the amount of time and manual effort this tool saves us. Highly recommend.
CUST-4228,2026-05-21 09:44:57,Just wanted to say: The new update made the page transition so smooth and fast. Loads instantly now!
CUST-7559,2026-06-14 15:31:57,There are so many bugs in the latest release. The export PDF button is completely broken. (using version 2.4.1)
CUST-7497,2026-03-31 08:16:57,Awesome! Excellent customer service. They helped me set up my custom integrations step-by-step.
CUST-8097,2026-05-16 12:53:57,I've been using this tool for 6 months and it hasn't crashed once. Extremely stable software. Highly recommend.
CUST-2986,2026-04-20 07:02:57,Just wanted to say: The mobile web version is completely broken. Buttons overlap and I can't click the menu.
CUST-4844,2026-05-29 06:08:57,"Beautiful interface! Very clean, uncluttered, and easy to use. Kudos to the design team. Hope this gets fixed soon."
CUST-5719,2026-06-01 05:07:57,The new update made the page transition so smooth and fast. Loads instantly now! (using version 2.4.1)
CUST-3649,2026-05-17 00:03:57,The mobile web version is completely broken. Buttons overlap and I can't click the menu. Hope this gets fixed soon.
CUST-3790,2026-06-04 17:35:57,I've been using this tool for 6 months and it hasn't crashed once. Extremely stable software. Hope this gets fixed soon.
CUST-6809,2026-04-10 09:18:57,Data synchronization fails frequently between my web app and the desktop client. Hope this gets fixed soon.
CUST-1641,2026-05-14 08:15:57,Just wanted to say: The interface looks fine but the button placement for saving projects is a bit weird.
CUST-2141,2026-04-07 10:27:57,The support agent didn't read my query properly and just pasted a generic article link. Unhelpful.
CUST-8288,2026-04-30 23:37:57,No live chat option? Email support takes way too long to respond. Very frustrating.
CUST-7333,2026-04-21 14:14:57,Just wanted to say: Suddenly locking features that were previously free behind the Pro plan is a bad move.
CUST-7924,2026-06-12 05:41:57,Robust product quality. The features work exactly as described without any hiccups. (using version 2.4.1)
CUST-8893,2026-06-10 09:18:57,Is there a mobile app in the roadmap? I need to check the status dashboard on the go. (using version 2.4.1)
CUST-7907,2026-04-17 17:53:57,Suddenly locking features that were previously free behind the Pro plan is a bad move. (using version 2.4.1)
CUST-8754,2026-04-11 03:31:57,Great value for money. The ROI we get from the team plan is well worth the cost.
CUST-1443,2026-04-15 05:08:57,Awesome! Great value for money. The ROI we get from the team plan is well worth the cost.
CUST-4055,2026-04-22 00:43:57,"Beautiful interface! Very clean, uncluttered, and easy to use. Kudos to the design team. Hope this gets fixed soon."
CUST-6075,2026-05-10 23:53:57,The live chat support was incredible! Solved my issue in less than 5 minutes. (using version 2.4.1)
